,fit_time,score_time,test_explained_variance,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_r2,test_neg_rmse,algorithm
0,0.1346282958984375,1.3791234493255615,0.947537554141394,-0.18271014732687488,-0.08808546432259834,0.9459680542131331,-0.29679195461231483,knn
1,0.133866548538208,1.3556222915649414,0.9663936338295962,-0.12698241523398382,-0.056644887083262485,0.9658859484287494,-0.23800186361300302,knn
2,0.13419866561889648,1.3236253261566162,0.9204796031000059,-0.230480819256287,-0.13147610284390265,0.9172701158379051,-0.3625963359493621,knn
3,0.13315296173095703,1.4244303703308105,0.7642013082446465,-0.4347417765815683,-0.38259518799075143,0.7641689489586571,-0.6185427939849849,knn
4,0.11284160614013672,0.886699914932251,0.8556504950976145,-0.4593655530583695,-0.44822369832584347,0.8225412900046138,-0.669495107021585,knn
0,0.011183023452758789,0.0027060508728027344,0.809577352974208,-0.4300847555981173,-0.3255104525662517,0.8003306985848969,-0.5705352334135481,rr
1,0.014383316040039062,0.0026826858520507812,0.8334772235912986,-0.49150900974681266,-0.3669273982109816,0.7790201229093302,-0.605745324547356,rr
2,0.01483917236328125,0.0026977062225341797,0.7554364605415902,-0.5203415369696552,-0.3889600414989612,0.7552511940888809,-0.6236666108578856,rr
3,0.014668464660644531,0.0026738643646240234,0.6082759419926058,-0.7669163247481592,-0.7306895131285772,0.5496041736150508,-0.8548037863326163,rr
4,0.01482391357421875,0.0027153491973876953,0.7234747854326593,-0.6760758655620721,-0.7284591020311201,0.7115917498033226,-0.8534981558451782,rr
0,83.36652684211731,3.4417452812194824,0.9646273109732181,-0.15559982857995527,-0.057919216554431,0.9644721408582739,-0.24066411563511292,svr
1,88.85540461540222,3.4320311546325684,0.970032076818261,-0.14820510471613585,-0.05085810104048065,0.9693710064394588,-0.22551740740013984,svr
2,64.03666973114014,3.0359253883361816,0.9325643146626055,-0.26358747389981785,-0.1130127531302684,0.9288879745210662,-0.33617369488148297,svr
3,101.55019807815552,3.56829833984375,0.8979699495872805,-0.31262759142574675,-0.166569604492376,0.8973267669536726,-0.40812939675105003,svr
4,98.37361741065979,3.178183078765869,-0.6491206795965578,-1.1737225911223501,-5.409508624772503,-1.141708316286262,-2.3258350381685506,svr
