,fit_time,score_time,test_accuracy,algorithm
0,0.1459641456604004,0.3144369125366211,0.9831460674157303,knn
1,0.1878974437713623,0.3090341091156006,0.9964212678936605,knn
2,0.14657139778137207,0.30113816261291504,0.9923273657289002,knn
3,0.1465601921081543,0.3132047653198242,0.9662404092071611,knn
4,0.14598941802978516,0.33196139335632324,0.9447570332480818,knn
0,0.06349372863769531,0.004340648651123047,0.86414708886619,rr
1,0.10202574729919434,0.0042722225189208984,0.8077709611451943,rr
2,0.09965753555297852,0.0042765140533447266,0.8138107416879795,rr
3,0.10174751281738281,0.00426483154296875,0.8235294117647058,rr
4,0.10186505317687988,0.00429081916809082,0.8593350383631714,rr
0,1.1823859214782715,0.13202691078186035,0.9882533197139939,svr
1,1.1479580402374268,0.1298050880432129,0.9918200408997955,svr
2,1.158064365386963,0.12934517860412598,0.989769820971867,svr
3,1.2261667251586914,0.1313631534576416,0.992838874680307,svr
4,1.1294169425964355,0.13342618942260742,0.9953964194373401,svr
