,fit_time,score_time,test_explained_variance,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_r2,test_neg_rmse
0,0.08126187324523926,0.8683371543884277,0.9999944524442866,-2.7135441245870755,-1878.607470867976,0.9999944375659584,<function errors_and_scores.<locals>.<lambda> at 0x7f4a5ecc99d8>
1,0.08124876022338867,0.8503704071044922,0.9999350029341412,-37.399716847569785,-21427.015645987023,0.9999350018785463,<function errors_and_scores.<locals>.<lambda> at 0x7f4a5ecc99d8>
2,0.08066082000732422,0.8104958534240723,0.9999857920149264,-8.022652194431354,-4900.71514139472,0.9999857646828587,<function errors_and_scores.<locals>.<lambda> at 0x7f4a5ecc99d8>
3,0.0864264965057373,0.8893406391143799,0.9999588524725357,-29.25908447380855,-13558.645224525459,0.9999588497688633,<function errors_and_scores.<locals>.<lambda> at 0x7f4a5ecc99d8>
4,0.07345032691955566,0.54488205909729,0.6755991670018442,-3666.1026952587054,-131206263.71464458,0.6391522821600564,<function errors_and_scores.<locals>.<lambda> at 0x7f4a5ecc99d8>
0,0.007633209228515625,0.0019183158874511719,0.9999456708523066,-110.80247329532766,-18504.067432526517,0.9999452106647125,<function errors_and_scores.<locals>.<lambda> at 0x7f4a5e984ae8>
1,0.010998249053955078,0.0020792484283447266,0.9999466081232445,-107.77750282485441,-18037.86767741922,0.9999452827433633,<function errors_and_scores.<locals>.<lambda> at 0x7f4a5e984ae8>
2,0.011510848999023438,0.0019953250885009766,0.9999438650549072,-110.88825375633279,-19486.66535059116,0.9999433962486519,<function errors_and_scores.<locals>.<lambda> at 0x7f4a5e984ae8>
3,0.011436939239501953,0.0020225048065185547,0.9999524470271484,-97.38478343781553,-16078.892117310364,0.9999512008673365,<function errors_and_scores.<locals>.<lambda> at 0x7f4a5e984ae8>
4,0.012672901153564453,0.0019927024841308594,0.6830965668227271,-3630.1898565584156,-127879146.65549514,0.64830262730205,<function errors_and_scores.<locals>.<lambda> at 0x7f4a5e984ae8>
0,10.410212755203247,4.28870153427124,0.9999970805142168,-23.864083489351987,-1077.1806644113656,0.9999968105383963,<function errors_and_scores.<locals>.<lambda> at 0x7f4a7c179950>
1,10.335506439208984,4.3076012134552,0.9999963834024511,-24.73766790745917,-1240.4329388224328,0.99999623718897,<function errors_and_scores.<locals>.<lambda> at 0x7f4a7c179950>
2,9.65593934059143,4.3331427574157715,0.9999968901099863,-23.612936236180175,-1080.4562632513578,0.9999968615524223,<function errors_and_scores.<locals>.<lambda> at 0x7f4a7c179950>
3,10.061662197113037,4.305776357650757,0.9999967149147474,-28.377727474424503,-1388.7217073914726,0.9999957852559531,<function errors_and_scores.<locals>.<lambda> at 0x7f4a7c179950>
4,10.507337808609009,4.278385877609253,0.7533185392616871,-3329.773766197498,-97782253.72890235,0.7310760774343851,<function errors_and_scores.<locals>.<lambda> at 0x7f4a7c179950>
