,fit_time,score_time,test_accuracy,algorithm
0,0.12856149673461914,0.24014544486999512,0.9954034729315628,knn
1,0.12738251686096191,0.21303558349609375,0.9959100204498977,knn
2,0.12654376029968262,0.20849990844726562,0.9856777493606138,knn
3,0.1271834373474121,0.19980788230895996,0.9938618925831202,knn
4,0.12596607208251953,0.21994304656982422,0.9964194373401535,knn
0,0.0686337947845459,0.004297494888305664,0.9662921348314607,rr
1,0.10338115692138672,0.004251241683959961,0.9688139059304703,rr
2,0.10417580604553223,0.004204273223876953,0.9703324808184143,rr
3,0.10164308547973633,0.004247903823852539,0.9713554987212276,rr
4,0.10176634788513184,0.004250288009643555,0.9831202046035805,rr
0,0.3570241928100586,0.04531574249267578,0.9882533197139939,svr
1,0.3895134925842285,0.043241262435913086,0.995398773006135,svr
2,0.3526761531829834,0.04322481155395508,0.991304347826087,svr
3,0.4076354503631592,0.0451352596282959,0.9953964194373401,svr
4,0.33892226219177246,0.04248762130737305,0.992838874680307,svr
