,fit_time,score_time,test_explained_variance,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_r2,test_neg_rmse,algorithm
0,0.13211631774902344,1.0674793720245361,0.9715982727483743,-0.12412547712807179,-0.04950703933635166,0.9696322011121672,-0.22250177378248395,knn
1,0.13155293464660645,0.9953217506408691,0.9750856873510885,-0.12659689435144678,-0.04143897506174082,0.9750436199080411,-0.20356565295191822,knn
2,0.11359572410583496,0.8193800449371338,0.9447872439415875,-0.18738312289044498,-0.08774589084253484,0.944786868274295,-0.29621932894822184,knn
3,0.1168813705444336,1.167463779449463,0.798287350681076,-0.382447206097106,-0.33206945018140066,0.7953129314922444,-0.5762546747588263,knn
4,0.06489825248718262,0.6932539939880371,0.8785105754376563,-0.44418305887103354,-0.3715324643092766,0.8529045383276433,-0.6095346292945764,knn
0,0.01080465316772461,0.0026984214782714844,0.89718327822227,-0.26458438395053796,-0.1676844942873735,0.8971417182811044,-0.4094929722075502,rr
1,0.012941598892211914,0.0025587081909179688,0.8961101900946632,-0.3167807979567319,-0.18686205999924957,0.8874634185049316,-0.4322754445943576,rr
2,0.012881755828857422,0.0025603771209716797,0.869186511879189,-0.3404476358958347,-0.21414268271984122,0.8652530843828986,-0.4627555323492537,rr
3,0.012839794158935547,0.0025522708892822266,0.7140470124537563,-0.5401162043235544,-0.46545687030462485,0.7130931428729648,-0.6822439961660527,rr
4,0.01292276382446289,0.002549886703491211,0.8080826349966861,-0.5632292314358923,-0.538794639139149,0.7866828506141258,-0.7340263204675627,rr
0,92.15673780441284,2.097586154937744,0.984980769989894,-0.0719946349054465,-0.024964858536592114,0.9846864645217078,-0.15800271686459103,svr
1,80.86380696296692,1.5698649883270264,0.9809154330079201,-0.10732501005494927,-0.03202143337515862,0.980715279245948,-0.17894533627663678,svr
2,88.52610683441162,2.0328423976898193,0.972807489825267,-0.13890483738197412,-0.04564488503920076,0.971278460722489,-0.21364663591828625,svr
3,85.44846224784851,1.5745182037353516,0.9582899794467552,-0.16924044808319633,-0.06767482840436165,0.9582853459410762,-0.2601438609776553,svr
4,76.6715247631073,1.396008014678955,0.9408712536962192,-0.28948216538183225,-0.15403708790607684,0.9390143291991079,-0.39247558893016116,svr
