,fit_time,score_time,test_explained_variance,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_r2,test_neg_rmse,algorithm
0,0.17528080940246582,1.0549910068511963,0.9742975099842552,-0.12637422324582015,-0.04910830556913515,0.9698767858624358,-0.221603938523518,knn
1,0.13787603378295898,0.954505205154419,0.9733516532090946,-0.13261827390277411,-0.04424963549106375,0.9733509161218326,-0.21035597327165148,knn
2,0.13735270500183105,1.1651153564453125,0.9560797499800996,-0.1457699244145457,-0.07102524350892067,0.9553081507515182,-0.26650561628025904,knn
3,0.1451401710510254,1.415872573852539,0.7876495414782115,-0.3628926625039028,-0.36200333958114406,0.7768617307963603,-0.6016671335390891,knn
4,0.02250528335571289,0.31255388259887695,0.6429813516797984,-0.5619032238908908,-1.0707652430918597,0.5760674425366018,-1.0347778713771665,knn
0,0.011806249618530273,0.002751588821411133,0.6970991841213865,-0.5250469624634057,-0.5108558430304985,0.6866391585967198,-0.7147418016532253,rr
1,0.016343116760253906,0.0035827159881591797,0.7158281369800351,-0.5265924932602428,-0.47241030432582953,0.715493660339144,-0.6873211071441278,rr
2,0.015450000762939453,0.0027747154235839844,0.6680906643091398,-0.5589219401679176,-0.5290775937362244,0.6670837734327654,-0.727377201826002,rr
3,0.015829086303710938,0.0028150081634521484,0.554070572178512,-0.6730082903703325,-0.7248610198236637,0.5531968473998512,-0.8513877024151004,rr
4,0.020304203033447266,0.005861997604370117,0.46805672944904597,-0.9289437692805315,-1.576647752914725,0.375780715311546,-1.255646348664593,rr
0,61.087236642837524,4.526399612426758,0.9272321278196376,-0.217770570204813,-0.12223365790634919,0.9250214274498421,-0.3496193042529963,svr
1,53.247153759002686,4.314758777618408,0.9272956112012986,-0.2409290895570538,-0.12089120856559495,0.9271939774995843,-0.3476941307609246,svr
2,62.97714185714722,4.0590760707855225,0.91541745081399,-0.27876131162635465,-0.15217669217944363,0.9042444988567746,-0.39009831091590697,svr
3,68.84727215766907,4.196514368057251,0.8085612801893232,-0.41359466979218207,-0.3130328617405433,0.8070470536170563,-0.5594933974056738,svr
4,64.77705812454224,4.001940488815308,-42.07571817053741,-4.134264597746455,-125.2473148964425,-48.58735340171791,-11.191394680576792,svr
